Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
40,1,1151,2,9,5,2,4,1,63,2,2,1,4,2,4876,14242,9,2,14,3,4,1,5,5,1,3,2,0,2,No
46,2,644,2,1,4,4,4,1,97,3,3,1,1,3,9396,12368,7,2,16,3,3,1,17,3,3,4,2,0,3,No
32,2,1045,3,4,4,4,4,1,32,1,3,8,4,2,10400,25812,1,2,11,3,3,0,14,2,2,14,8,9,8,Yes
30,1,829,2,1,1,2,3,1,88,2,3,5,3,1,8474,20925,1,2,22,4,3,0,12,2,3,11,8,5,8,No
27,3,1242,3,20,3,2,4,2,90,3,2,8,3,1,9981,12916,1,2,14,3,4,0,7,2,3,7,7,0,7,No
51,2,1469,2,8,4,2,2,1,81,2,3,6,2,2,12490,15736,5,2,16,3,4,2,16,5,1,10,9,4,7,No
30,2,1005,2,3,3,6,4,2,88,3,1,7,1,1,2657,8556,5,1,11,3,3,0,8,5,3,5,2,0,4,Yes
41,2,896,3,6,3,2,4,2,75,3,3,4,4,1,13591,14674,3,1,18,3,3,0,16,3,3,1,0,0,0,No
30,3,334,3,26,4,3,3,2,52,2,2,8,1,1,6696,22967,5,2,15,3,3,0,9,5,2,6,3,0,1,Yes
29,2,992,2,1,3,6,3,1,85,3,1,7,3,1,2058,19757,0,2,14,3,4,0,7,1,2,6,2,1,5,Yes
45,1,1052,3,6,3,4,4,2,57,2,3,8,4,1,8865,16840,6,2,12,3,4,0,23,2,3,19,7,12,8,No
54,2,1147,3,3,3,3,4,2,52,3,2,8,1,2,5940,17011,2,2,14,3,4,1,16,4,3,6,2,0,5,No
36,2,1396,2,5,2,2,4,1,62,3,2,3,2,1,5914,9945,8,2,16,3,4,0,16,3,4,13,11,3,7,No
33,2,147,2,4,4,4,3,2,47,2,1,7,2,2,2622,13248,6,2,21,4,4,0,7,3,3,3,2,1,1,No
37,3,663,2,11,3,5,2,1,47,3,3,6,4,3,12185,10056,1,1,14,3,3,3,10,1,3,10,8,0,7,No
38,2,119,3,3,3,2,1,1,76,3,3,8,3,3,10609,9647,0,2,12,3,3,2,17,6,2,16,10,5,13,No
31,1,979,2,1,4,4,3,1,90,1,2,5,3,2,4345,4381,0,2,12,3,4,1,6,2,3,5,4,1,4,No
59,2,142,2,3,3,2,3,1,70,2,1,7,4,2,2177,8456,3,2,17,3,1,1,7,6,3,1,0,0,0,No
37,3,319,3,4,4,3,1,1,41,3,1,9,4,3,2793,2539,4,2,17,3,3,1,13,2,3,9,8,5,8,No
29,3,1413,3,1,1,4,2,2,42,3,3,8,4,2,7918,6599,1,2,14,3,4,1,11,5,3,11,10,4,1,No
35,3,944,3,1,3,3,3,2,92,3,3,8,3,1,8789,9096,1,2,14,3,1,0,10,3,4,10,7,0,8,No
29,2,896,2,18,1,4,3,1,86,2,1,7,4,1,2389,14961,1,1,13,3,3,0,4,3,2,4,3,0,1,Yes
52,2,1323,2,2,3,2,3,2,89,2,1,3,4,1,3212,3300,7,2,15,3,2,0,6,3,2,2,2,2,2,No
42,2,532,2,4,2,6,3,1,58,3,5,4,4,2,19232,4933,1,2,11,3,4,0,22,3,3,22,17,11,15,No
59,2,818,1,6,2,4,2,1,52,3,1,2,3,2,2267,25657,8,2,17,3,4,0,7,2,2,2,2,2,2,No
50,2,854,3,1,4,4,4,2,68,3,5,4,4,3,19517,24118,3,2,11,3,3,1,32,3,2,7,0,0,6,No
33,2,813,2,14,3,4,3,1,58,3,1,3,4,2,2436,22149,5,1,13,3,3,1,8,2,1,5,4,0,4,Yes
43,2,1034,3,16,3,3,4,2,80,3,4,4,4,2,16064,7744,5,1,22,4,3,1,22,3,3,17,13,1,9,No
33,2,465,2,2,2,2,1,2,39,3,1,3,1,2,2707,21509,7,2,20,4,1,0,13,3,4,9,7,1,7,Yes
52,1,771,3,2,4,2,1,1,79,2,5,4,3,1,19068,21030,1,1,18,3,4,0,33,2,4,33,7,15,12,No
32,2,1401,3,4,2,2,3,2,56,3,1,9,2,2,3931,20990,2,2,11,3,1,1,6,5,3,4,3,1,2,No
32,2,515,2,1,3,2,4,1,62,2,1,3,3,1,3730,9571,0,1,14,3,4,0,4,2,1,3,2,1,2,Yes
39,2,1431,2,1,4,4,3,2,96,3,1,3,3,3,2232,15417,7,2,14,3,3,3,7,1,3,3,2,1,2,No
32,1,976,3,26,4,3,3,1,100,3,2,8,4,2,4465,12069,0,2,18,3,1,0,4,2,3,3,2,2,2,No
41,2,1411,2,19,2,2,3,1,36,3,2,7,1,3,3072,19877,2,2,16,3,1,2,17,2,2,1,0,0,0,No
40,2,1300,2,24,2,6,1,1,62,3,2,7,4,3,3319,24447,1,2,17,3,1,2,9,3,3,9,8,4,7,No
45,2,252,2,1,3,5,3,1,70,4,5,4,4,2,19202,15970,0,2,11,3,3,1,25,2,3,24,0,1,7,No
31,3,1327,2,3,4,4,2,1,73,3,3,6,3,3,13675,13523,9,2,12,3,1,1,9,3,3,2,2,2,2,No
33,2,832,2,5,4,2,3,2,63,2,1,7,4,2,2911,14776,1,2,13,3,3,1,2,2,2,2,2,0,2,No
34,2,470,2,2,4,2,4,1,84,2,2,5,1,2,5957,23687,6,2,13,3,2,1,13,3,3,11,9,5,9,No
37,2,1017,2,1,2,4,3,2,83,2,1,7,1,2,3920,18697,2,2,14,3,1,1,17,2,2,3,1,0,2,No
45,3,1199,2,7,4,2,1,1,77,4,2,5,3,2,6434,5118,4,2,17,3,4,1,9,1,3,3,2,0,2,No
37,3,504,2,10,3,4,1,1,61,3,3,5,3,3,10048,22573,6,2,11,3,2,2,17,5,3,1,0,0,0,Yes
39,3,505,2,2,4,6,3,2,64,3,3,1,3,1,10938,6420,0,2,25,4,4,0,20,1,3,19,6,11,8,No
29,2,665,2,15,3,2,3,1,60,3,1,7,4,1,2340,22673,1,2,19,3,1,0,6,1,3,6,5,1,5,No
42,2,916,2,17,2,2,4,2,82,4,2,7,1,1,6545,23016,3,1,13,3,3,0,10,1,3,3,2,0,2,No
29,2,1247,3,20,2,3,4,1,45,3,2,8,4,3,6931,10732,2,2,14,3,4,1,10,2,3,3,2,0,2,No
25,2,685,2,1,3,2,1,2,62,3,2,5,3,2,4898,7505,0,2,12,3,4,2,5,3,3,4,2,1,2,No
42,2,269,2,2,3,4,4,2,56,2,1,3,1,3,2593,8007,0,1,11,3,3,1,10,4,3,9,6,7,8,No
40,2,1416,2,2,2,4,1,1,49,3,5,6,3,3,19436,5949,0,2,19,3,4,1,22,5,3,21,7,3,9,No
51,2,833,2,1,3,2,3,1,96,3,1,7,4,2,2723,23231,1,2,11,3,2,0,1,0,2,1,0,0,0,No
31,3,307,2,29,2,4,3,1,71,2,1,3,2,1,3479,11652,0,2,11,3,2,0,6,2,4,5,4,1,4,Yes
32,3,1311,2,7,3,2,2,1,100,4,1,3,2,2,2794,26062,1,2,20,4,3,0,5,3,1,5,1,0,3,No
38,1,1327,3,2,2,2,4,1,39,2,2,8,4,2,5249,19682,3,2,18,3,4,1,13,0,3,8,7,7,5,No
32,2,128,2,2,1,6,4,1,84,2,2,3,1,1,2176,19737,4,2,13,3,4,0,9,5,3,6,2,0,4,No
46,2,488,3,2,3,6,3,2,75,1,4,4,2,2,16872,14977,3,1,12,3,2,1,28,2,2,7,7,7,7,No
28,2,529,2,2,4,2,1,1,79,3,1,3,3,1,3485,14935,2,2,11,3,3,0,5,5,1,0,0,0,0,Yes
29,2,1210,3,2,3,4,1,1,78,2,2,8,2,2,6644,3687,2,2,19,3,2,2,10,2,3,0,0,0,0,No
31,2,1463,2,23,3,4,2,1,64,2,2,1,4,2,5582,14408,0,2,21,4,2,1,10,2,3,9,0,7,8,No
25,1,675,2,5,2,2,2,1,85,4,2,1,1,3,4000,18384,1,2,12,3,4,2,6,2,3,6,3,1,5,No
45,2,1385,2,20,2,4,3,1,79,3,4,1,4,2,13496,7501,0,1,14,3,2,0,21,2,3,20,7,4,10,No
36,2,1403,2,6,3,2,4,1,47,3,1,3,4,2,3210,20251,0,2,11,3,3,1,16,4,3,15,13,10,11,No
55,2,452,2,1,3,4,4,1,81,3,5,4,1,1,19045,18938,0,1,14,3,3,0,37,2,3,36,10,4,13,No
47,1,666,2,29,4,2,1,1,88,3,3,4,2,2,11849,10268,1,1,12,3,4,1,10,2,2,10,7,9,9,Yes
28,2,1158,2,9,3,4,4,1,94,3,1,7,4,2,2070,2613,1,2,23,4,4,1,5,3,2,5,2,0,4,No
37,2,228,3,6,4,4,3,1,98,3,2,8,4,2,6502,22825,4,2,14,3,2,1,7,5,4,5,4,0,1,No
21,2,996,2,3,2,4,4,1,100,2,1,7,3,1,3230,10531,1,2,17,3,1,0,3,4,4,3,2,1,0,No
37,1,728,2,1,4,4,1,2,80,3,3,6,4,3,13603,11677,2,1,18,3,1,2,15,2,3,5,2,0,2,No
35,2,1315,2,22,3,2,2,2,71,4,3,4,2,3,11996,19100,7,2,18,3,2,1,10,6,2,7,7,6,2,No
38,2,322,3,7,2,4,1,2,44,4,2,8,1,3,5605,19191,1,1,24,4,3,1,8,3,3,8,0,7,7,No
26,3,1479,2,1,3,2,3,2,84,3,2,5,2,3,6397,26767,1,2,20,4,1,1,6,6,1,6,5,1,4,No
50,2,797,2,4,1,2,1,1,96,3,5,6,2,3,19144,15815,3,2,14,3,1,2,28,4,2,10,4,1,6,No
53,2,1070,2,3,4,4,3,1,45,3,4,6,3,2,17584,21016,3,1,16,3,4,3,21,5,2,5,3,1,3,No
42,2,635,3,1,1,2,2,1,99,3,2,8,3,2,4907,24532,1,2,25,4,3,0,20,3,3,20,16,11,6,No
29,3,442,3,2,2,2,2,1,44,3,2,8,4,1,4554,20260,1,2,18,3,1,0,10,3,2,10,7,0,9,No
55,2,147,2,20,2,6,2,1,37,3,2,3,4,2,5415,15972,3,1,19,3,4,1,12,4,3,10,7,0,8,No
26,3,496,2,11,2,4,1,1,60,3,2,1,1,2,4741,22722,1,1,13,3,3,1,5,3,3,5,3,3,3,No
37,2,1372,2,1,3,2,4,2,42,3,1,7,4,1,2115,15881,1,2,12,3,2,0,17,3,3,17,12,5,7,No
44,3,920,2,24,3,2,4,1,43,3,1,3,3,3,3161,19920,3,1,22,4,4,1,19,0,1,1,0,0,0,Yes
38,2,688,2,23,4,2,4,1,82,3,2,1,4,3,5745,18899,9,2,14,3,2,1,10,2,3,2,2,1,2,No
26,2,1449,2,16,4,4,1,1,45,3,1,3,2,3,2373,14180,2,1,13,3,4,1,5,2,3,3,2,0,2,Yes
28,2,1117,2,8,2,2,4,2,66,3,1,7,4,1,3310,4488,1,2,21,4,4,0,5,3,3,5,3,0,2,No
49,3,636,2,10,4,2,3,2,35,3,5,6,1,1,18665,25594,9,1,11,3,4,0,22,4,3,3,2,1,2,No
36,2,506,2,3,3,6,3,1,30,3,2,7,2,1,4485,26285,4,2,12,3,4,0,10,2,3,8,0,7,7,No
31,3,444,3,5,3,3,4,2,84,3,1,9,2,3,2789,3909,1,2,11,3,3,1,2,5,2,2,2,2,2,No
26,2,950,3,4,4,3,4,1,48,2,2,8,4,1,5828,8450,1,1,12,3,2,0,8,0,3,8,7,7,4,Yes
37,3,889,2,9,3,4,2,1,53,3,1,7,4,2,2326,11411,1,1,12,3,3,3,4,3,2,4,2,1,2,No
42,3,555,3,26,3,3,3,2,77,3,4,8,2,2,13525,14864,5,2,14,3,4,1,23,2,4,20,4,4,8,No
18,2,230,2,3,3,2,3,1,54,3,1,3,3,1,1420,25233,1,2,13,3,3,0,0,2,3,0,0,0,0,Yes
35,2,1232,3,16,3,3,3,1,96,3,3,8,2,2,8020,5100,0,2,15,3,3,2,12,3,2,11,9,6,9,No
36,3,566,2,18,4,2,3,1,81,4,1,3,4,2,3688,7122,4,2,18,3,4,2,4,2,3,1,0,0,0,No
51,2,1302,2,2,3,4,4,1,84,1,2,5,2,3,5482,16321,5,2,18,3,4,1,13,3,3,4,1,1,2,No
41,2,334,3,2,4,2,4,1,88,3,4,4,2,1,16015,15896,1,2,19,3,2,0,22,2,3,22,10,0,4,No
18,2,812,3,10,3,4,4,2,69,2,1,9,3,1,1200,9724,1,2,12,3,1,0,0,2,3,0,0,0,0,No
28,2,1476,2,16,2,4,2,1,68,4,2,1,1,1,5661,4824,0,2,19,3,3,0,9,2,3,8,3,0,7,No
31,2,218,3,7,3,6,2,1,100,4,2,8,4,2,6929,12241,4,2,11,3,2,1,10,3,2,8,7,7,7,No
39,2,1132,2,1,3,4,3,1,48,4,3,1,4,3,9613,10942,0,2,17,3,1,3,19,5,2,18,10,3,7,No
36,1,1105,2,24,4,2,2,2,47,3,2,3,2,2,5674,6927,7,2,15,3,3,1,11,3,3,9,8,0,8,No
32,2,906,3,7,3,2,4,1,91,2,2,8,3,2,5484,16985,1,2,14,3,3,1,13,3,2,13,8,4,8,No
38,2,849,2,25,2,2,1,2,81,2,3,6,2,2,12061,26707,3,2,17,3,3,1,19,2,3,10,8,0,1,No
58,1,390,2,1,4,2,4,1,32,1,2,1,3,3,5660,17056,2,1,13,3,4,1,12,2,3,5,3,1,2,No
31,2,691,2,5,4,6,3,1,86,3,1,7,4,2,4821,10077,0,1,12,3,3,1,6,4,3,5,2,0,3,No
31,2,106,1,2,3,1,1,1,62,2,2,2,1,2,6410,17822,3,2,12,3,4,0,9,1,3,2,2,1,0,No
45,3,1249,2,7,3,2,1,1,97,3,3,3,1,3,5210,20308,1,2,18,3,1,1,24,2,3,24,9,9,11,No
31,2,192,2,2,4,2,3,1,32,3,1,7,4,3,2695,7747,0,1,18,3,2,1,3,2,1,2,2,2,2,No
33,3,553,2,5,4,2,4,2,74,3,3,4,2,2,11878,23364,6,2,11,3,2,2,12,2,3,10,6,8,8,No
39,2,117,2,10,1,4,3,1,99,3,4,4,1,2,17068,5355,1,1,14,3,4,0,21,3,3,21,9,11,10,No
43,3,185,2,10,4,2,3,2,33,3,1,3,4,1,2455,10675,0,2,19,3,1,0,9,5,3,8,7,1,7,No
49,2,1091,2,1,2,6,3,2,90,2,4,1,3,1,13964,17810,7,1,12,3,4,0,25,2,3,7,1,0,7,No
52,2,723,2,8,4,4,3,1,85,2,2,7,2,2,4941,17747,2,2,15,3,1,0,11,3,2,8,2,7,7,Yes
27,2,1220,2,5,3,2,3,2,85,3,1,7,2,1,2478,20938,1,1,12,3,2,0,4,2,2,4,3,1,2,No
32,2,588,3,8,2,6,3,2,65,2,2,8,2,2,5228,24624,1,1,11,3,4,0,13,2,3,13,12,11,9,No
27,2,1377,3,2,3,2,4,1,74,3,2,8,3,1,4478,5242,1,1,11,3,1,0,5,3,3,5,4,0,4,No
31,2,691,3,7,3,3,4,1,73,3,2,8,4,3,7547,7143,4,2,12,3,4,3,13,3,3,7,7,1,7,No
32,2,1018,2,2,4,4,1,2,74,4,2,7,4,1,5055,10557,7,2,16,3,3,0,10,0,2,7,7,0,7,No
28,2,1157,2,2,4,4,1,1,84,1,1,7,4,2,3464,24737,5,1,13,3,4,0,5,4,2,3,2,2,2,Yes
30,2,1275,2,28,2,4,4,2,64,3,2,7,4,2,5775,11934,1,2,13,3,4,2,11,2,3,10,8,1,9,No
31,3,798,2,7,2,2,3,2,48,2,3,5,3,2,8943,14034,1,2,24,4,1,1,10,2,3,10,9,8,9,No
39,3,672,2,7,2,4,3,1,54,2,5,4,4,2,19272,21141,1,2,15,3,1,1,21,2,3,21,9,13,3,No
39,2,1162,3,3,2,4,4,2,41,3,2,8,3,2,5238,17778,4,1,18,3,1,0,12,3,2,1,0,0,0,Yes
33,3,508,3,10,3,3,2,1,46,2,2,8,4,1,4682,4317,3,2,14,3,3,0,9,6,2,7,7,0,1,No
47,2,1482,2,5,5,2,4,1,42,3,5,6,3,2,18300,16375,4,2,11,3,2,1,21,2,3,3,2,1,1,No
43,3,559,2,10,4,2,3,2,82,2,2,3,3,3,5257,6227,1,2,11,3,2,1,9,3,4,9,7,0,0,No
27,1,210,3,1,1,3,3,1,73,3,2,8,2,2,6349,22107,0,1,13,3,4,1,6,0,3,5,4,1,4,No
54,3,928,2,20,4,2,4,2,31,3,2,7,3,1,4869,16885,3,2,12,3,4,0,20,4,2,4,3,0,3,No
43,2,1001,2,7,3,2,3,2,43,3,3,1,1,2,9985,9262,8,2,16,3,1,1,10,1,2,1,0,0,0,No
45,2,549,2,8,4,5,4,1,75,3,2,7,4,2,3697,9278,9,2,14,3,1,2,12,3,3,10,9,9,8,No
40,2,1124,3,1,2,4,2,1,57,1,2,8,4,2,7457,13273,2,1,22,4,3,3,6,2,2,4,3,0,2,No
29,2,318,2,8,4,5,2,1,77,1,1,3,1,2,2119,4759,1,1,11,3,4,0,7,4,2,7,7,0,7,Yes
29,2,738,2,9,5,5,2,1,30,2,1,3,4,1,3983,7621,0,2,17,3,3,0,4,2,3,3,2,2,2,No
30,2,570,3,5,3,3,4,2,30,2,2,8,3,3,6118,5431,1,2,13,3,3,3,10,2,3,10,9,1,2,No
27,2,1130,3,8,4,3,2,2,56,3,2,8,2,2,6214,3415,1,2,18,3,1,1,8,3,3,8,7,0,7,No
37,2,1192,2,5,2,4,4,1,61,3,2,5,4,3,6347,23177,7,2,16,3,3,2,8,2,2,6,2,0,4,No
38,2,343,2,15,2,2,3,1,92,2,3,6,4,3,11510,15682,0,1,14,3,2,1,12,3,3,11,10,2,9,No
31,2,1232,2,7,4,4,3,2,39,3,3,5,4,1,7143,25713,1,1,14,3,3,0,11,2,2,11,9,4,10,No
29,2,144,3,10,1,3,4,2,39,2,2,8,2,3,8268,11866,1,1,14,3,1,2,7,2,3,7,7,1,7,No
35,2,1296,2,5,4,6,3,1,62,3,3,5,2,1,8095,18264,0,2,13,3,4,0,17,5,3,16,6,0,13,No
23,2,1309,2,26,1,2,3,1,83,3,1,7,4,3,2904,16092,1,2,12,3,3,2,4,2,2,4,2,0,2,No
41,2,483,2,6,3,4,4,1,95,2,2,5,2,1,6032,10110,6,1,15,3,4,0,8,3,3,5,4,1,2,No
47,3,1309,3,4,1,4,2,1,99,3,2,9,3,1,2976,25751,3,2,19,3,1,0,5,3,3,0,0,0,0,No
42,2,810,2,23,5,2,1,2,44,3,4,6,4,1,15992,15901,2,2,14,3,2,0,16,2,3,1,0,0,0,No
29,1,746,3,2,3,2,4,1,61,3,2,8,3,2,4649,16928,1,2,14,3,1,1,4,3,2,4,3,0,2,No
42,2,544,1,2,1,6,3,1,52,3,1,2,3,3,2696,24017,0,1,11,3,3,1,4,5,3,3,2,1,0,No
32,2,1062,2,2,3,4,3,2,75,3,1,3,2,2,2370,3956,1,2,13,3,3,1,8,4,3,8,0,0,7,No
48,2,530,3,29,1,4,1,2,91,3,3,4,3,2,12504,23978,3,2,21,4,2,1,15,3,1,0,0,0,0,No
37,2,1319,2,6,3,4,3,1,51,4,2,7,1,3,5974,17001,4,1,13,3,1,2,13,2,3,7,7,6,7,No
30,1,641,3,25,2,6,4,2,85,3,2,8,3,2,4736,6069,7,1,12,3,2,1,4,2,4,2,2,2,2,No
26,2,933,3,1,3,2,3,1,57,3,2,8,3,2,5296,20156,1,2,17,3,2,1,8,3,3,8,7,7,7,No
42,2,1332,2,2,4,5,1,1,98,2,2,1,4,1,6781,17078,3,2,23,4,2,0,14,6,3,1,0,0,0,No
21,3,756,3,1,1,6,1,2,99,2,1,9,2,1,2174,9150,1,1,11,3,3,0,3,3,3,3,2,1,2,Yes
36,1,845,3,1,5,4,4,2,45,3,2,8,4,1,6653,15276,4,2,15,3,2,0,7,6,3,1,0,0,0,No
36,3,541,3,3,4,4,1,1,48,2,3,8,4,2,9699,7246,4,2,11,3,1,1,16,2,3,13,9,1,12,No
57,2,593,2,1,4,4,4,1,88,3,2,1,3,2,6755,2967,2,2,11,3,3,0,15,2,3,3,2,1,2,No
40,2,1171,2,10,4,2,4,2,46,4,1,3,3,2,2213,22495,3,1,13,3,3,1,10,3,3,7,7,1,7,No
21,1,895,3,9,2,4,1,1,39,3,1,9,4,1,2610,2851,1,2,24,4,3,0,3,3,2,3,2,2,2,No
33,2,350,3,5,3,3,4,2,34,3,1,9,3,1,2851,9150,1,1,13,3,2,0,1,2,3,1,0,0,0,Yes
37,2,921,2,10,3,4,3,2,98,3,1,3,1,2,3452,17663,6,2,20,4,2,1,17,3,3,5,4,0,3,No
46,1,1144,2,7,4,4,3,2,30,3,2,5,3,2,5258,16044,2,2,14,3,3,0,7,2,4,1,0,0,0,No
41,3,143,3,4,3,3,1,1,56,3,2,8,2,1,9355,9558,1,2,18,3,3,0,8,5,3,8,7,7,7,Yes
50,2,1046,2,10,3,6,4,1,100,2,3,1,4,1,10496,2755,6,2,15,3,4,0,20,2,3,4,3,1,3,No
40,2,575,3,22,2,3,3,1,68,2,2,8,3,2,6380,6110,2,1,12,3,1,2,8,6,3,6,4,1,0,Yes
31,2,408,2,9,4,2,3,1,42,2,1,7,2,1,2657,7551,0,1,16,3,4,0,3,5,3,2,2,2,2,No
21,2,156,3,12,3,2,3,2,90,4,1,9,2,1,2716,25422,1,2,15,3,4,0,1,0,3,1,0,0,0,Yes
29,2,1283,2,23,3,2,4,1,54,3,1,7,4,1,2201,18168,9,2,16,3,4,0,6,4,3,3,2,1,2,No
35,2,755,2,9,4,2,3,1,97,2,2,1,2,1,6540,19394,9,2,19,3,3,0,10,5,3,1,1,0,0,No
27,2,1469,2,1,2,4,4,1,82,3,1,3,2,3,3816,17881,1,2,11,3,2,1,5,2,3,5,2,0,4,No
28,2,304,3,9,4,2,2,1,92,3,2,8,4,1,5253,20750,1,2,16,3,4,0,7,1,3,7,5,0,7,No
49,2,1261,2,7,3,5,2,1,31,2,3,1,3,1,10965,12066,8,2,24,4,3,0,26,2,3,5,2,0,0,No
51,2,1178,3,14,2,2,3,2,87,3,2,8,4,2,4936,14862,4,2,11,3,3,1,18,2,2,7,7,0,7,No
36,2,329,2,2,3,2,4,2,96,3,1,7,3,2,2543,11868,4,2,13,3,2,1,6,3,3,2,2,2,2,No
34,1,1362,3,19,3,3,1,1,67,4,2,8,4,1,5304,4652,8,1,13,3,2,0,9,3,2,5,2,0,4,Yes
55,2,1311,2,2,3,2,3,2,97,3,4,4,4,1,16659,23258,2,1,13,3,3,0,30,2,3,5,4,1,2,No
24,2,1371,3,10,4,3,4,2,77,3,2,8,3,3,4260,5915,1,1,12,3,4,1,5,2,4,5,2,0,3,No
30,2,202,3,2,1,6,3,1,72,3,1,9,2,2,2476,17434,1,2,18,3,1,1,1,3,3,1,0,0,0,No
26,3,575,2,3,1,6,3,1,73,3,1,7,1,1,3102,6582,0,2,22,4,3,0,7,2,3,6,4,0,4,Yes
22,2,253,2,11,3,4,1,2,43,3,1,7,2,2,2244,24440,1,2,13,3,4,1,2,1,3,2,1,1,2,No
36,2,164,3,2,2,4,2,1,61,2,3,8,3,2,7596,3809,1,2,13,3,2,2,10,2,3,10,9,9,0,No
30,3,464,2,4,3,6,3,1,40,3,1,7,4,1,2285,3427,9,1,23,4,3,0,3,4,3,1,0,0,0,Yes
37,2,1107,2,14,3,2,4,2,95,3,1,3,1,3,3034,26914,1,2,12,3,3,1,18,2,2,18,7,12,17,No
40,2,759,3,2,2,3,4,2,46,3,2,8,2,3,5715,22553,7,2,12,3,3,2,8,5,3,5,4,1,3,No
42,2,201,2,1,4,2,2,2,95,3,1,3,1,3,2576,20490,3,2,16,3,2,1,8,5,3,5,2,1,2,No
37,2,1305,2,10,4,2,3,1,49,3,2,5,2,1,4197,21123,2,1,12,3,4,0,18,2,2,1,0,0,1,No
43,2,982,2,12,3,2,1,1,59,2,4,6,2,3,14336,4345,1,2,11,3,3,1,25,3,3,25,10,3,9,No
40,2,555,2,2,3,4,2,2,78,2,2,3,3,2,3448,13436,6,2,22,4,2,1,20,3,3,1,0,0,0,No
54,2,821,2,5,2,4,1,1,86,3,5,6,1,2,19406,8509,4,2,11,3,3,1,24,4,2,4,2,1,2,No
34,1,1381,3,4,4,3,3,2,72,3,2,8,3,2,6538,12740,9,2,15,3,1,1,6,3,3,3,2,1,2,No
31,2,480,2,7,2,4,2,2,31,3,2,5,1,2,4306,4156,1,2,12,3,2,1,13,5,1,13,10,3,12,No
43,3,313,2,21,3,4,4,1,61,3,1,3,4,2,2258,15238,7,2,20,4,1,1,8,1,3,3,2,1,2,No
43,2,1473,2,8,4,5,3,2,74,3,2,1,3,3,4522,2227,4,1,14,3,4,0,8,3,3,5,2,0,2,No
25,2,891,3,4,2,2,2,2,99,2,2,8,4,1,4487,12090,1,1,11,3,2,0,5,3,3,5,4,1,3,No
37,1,1063,2,25,5,4,2,2,72,3,2,7,3,2,4449,23866,3,1,15,3,1,2,15,2,3,13,11,10,7,No
31,2,329,2,1,2,2,4,1,98,2,1,3,1,2,2218,16193,1,2,12,3,3,1,4,3,3,4,2,3,2,No
39,3,1218,2,1,1,2,2,1,52,3,5,4,3,3,19197,8213,1,1,14,3,3,1,21,3,3,21,8,1,6,No
56,3,906,3,6,3,2,3,2,86,4,4,8,1,2,13212,18256,9,2,11,3,4,3,36,0,2,7,7,7,7,No
30,2,1082,3,12,3,6,2,2,83,3,2,8,3,1,6577,19558,0,2,11,3,2,0,6,6,3,5,4,4,4,No
41,2,645,3,1,3,3,2,1,49,4,3,8,1,2,8392,19566,1,2,16,3,3,1,10,2,3,10,7,0,7,No
28,2,1300,2,17,2,4,3,1,79,3,2,3,1,3,4558,13535,1,2,12,3,4,1,10,2,3,10,0,1,8,No
25,2,688,2,3,3,4,1,1,91,3,1,3,1,2,4031,9396,5,2,13,3,3,1,6,5,3,2,2,0,2,Yes
52,2,319,2,3,3,4,4,1,39,2,3,5,3,2,7969,19609,2,1,14,3,3,0,28,4,3,5,4,0,4,No
45,2,192,2,10,2,2,1,1,69,3,1,7,4,2,2654,9655,3,2,21,4,4,2,8,3,2,2,2,0,2,No
52,2,1490,2,4,2,2,4,2,30,3,4,4,4,2,16555,10310,2,2,13,3,4,0,31,2,1,5,2,1,4,No
42,3,532,2,29,2,2,1,2,92,3,2,7,3,3,4556,12932,2,2,11,3,2,1,19,3,3,5,4,0,2,No
30,2,317,2,2,3,2,3,2,43,1,2,5,4,1,6091,24793,2,2,20,4,3,0,11,2,3,5,4,0,2,No
60,2,422,2,7,3,2,1,2,41,3,5,4,1,2,19566,3854,5,2,11,3,4,0,33,5,1,29,8,11,10,No
46,2,1485,2,18,3,4,3,2,87,3,2,5,3,3,4810,26314,2,2,14,3,3,1,19,5,2,10,7,0,8,No
42,3,1368,2,28,4,6,4,2,88,2,2,1,4,2,4523,4386,0,2,11,3,4,3,7,4,4,6,5,0,4,No
24,2,1448,3,1,1,6,1,2,62,3,1,9,2,1,3202,21972,1,1,16,3,2,0,6,4,3,5,3,1,4,Yes
34,3,296,3,6,2,3,4,2,33,1,1,9,3,3,2351,12253,0,2,16,3,4,1,3,3,2,2,2,1,0,Yes
38,3,1490,2,2,2,2,4,1,42,3,1,3,4,2,1702,12106,1,1,23,4,3,1,1,3,3,1,0,0,0,No
40,2,1398,3,2,4,2,3,2,79,3,5,4,3,2,18041,13022,0,2,14,3,4,0,21,2,3,20,15,1,12,No
26,2,1349,2,23,3,2,1,2,90,3,1,7,4,3,2886,3032,1,2,22,4,2,2,3,3,1,3,2,0,2,No
30,1,1400,2,3,3,2,3,1,53,3,1,3,4,2,2097,16734,4,2,15,3,3,1,9,3,1,5,3,1,4,No
